Symbol,Name,AUM,Avg Volume
SPY,SPDR S&P 500 ETF,"$301,633,051.23 ","74,834,516"
IVV,iShares Core S&P 500 ETF,"$212,692,806.86 ","3,735,363"
VTI,Vanguard Total Stock Market ETF,"$162,209,657.11 ","3,218,034"
VOO,Vanguard S&P 500 ETF,"$160,631,106.83 ","3,459,138"
QQQ,Invesco QQQ,"$128,144,003.66 ","43,683,016"
AGG,iShares Core U.S. Aggregate Bond ETF,"$79,977,731.31 ","5,960,521"
GLD,SPDR Gold Trust,"$78,552,791.20 ","13,948,994"
VEA,Vanguard FTSE Developed Markets ETF,"$76,514,797.94 ","9,860,722"
IEFA,iShares Core MSCI EAFE ETF,"$72,669,398.80 ","8,217,911"
BND,Vanguard Total Bond Market ETF,"$61,882,034.79 ","4,502,646"
VWO,Vanguard FTSE Emerging Markets ETF,"$61,871,205.75 ","11,578,987"
VUG,Vanguard Growth ETF,"$60,235,525.51 ","981,931"
IWF,iShares Russell 1000 Growth ETF,"$58,009,832.90 ","1,781,366"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$56,475,846.57 ","11,500,537"
IEMG,iShares Core MSCI Emerging Markets ETF,"$54,837,716.40 ","12,245,328"
VTV,Vanguard Value ETF,"$52,008,173.08 ","1,989,908"
EFA,iShares MSCI EAFE ETF,"$48,822,762.94 ","23,402,568"
VIG,Vanguard Dividend Appreciation ETF,"$47,367,311.04 ","1,169,423"
IJH,iShares Core S&P Mid-Cap ETF,"$44,374,120.80 ","1,223,911"
IJR,iShares Core S&P Small-Cap ETF,"$42,561,853.00 ","4,093,803"
IWM,iShares Russell 2000 ETF,"$40,411,112.56 ","25,212,750"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$39,060,636.84 ","3,654,981"
IWD,iShares Russell 1000 Value ETF,"$36,951,060.41 ","2,247,615"
VGT,Vanguard Information Technology ETF,"$35,927,584.31 ","819,263"
XLK,Technology Select Sector SPDR Fund,"$34,977,330.67 ","11,050,760"
VO,Vanguard Mid-Cap Index ETF,"$34,484,467.06 ","593,938"
USMV,iShares Edge MSCI Min Vol USA ETF,"$34,456,360.68 ","4,226,035"
IAU,iShares Gold Trust,"$32,543,963.40 ","27,083,125"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$32,135,321.94 ","2,424,883"
BNDX,Vanguard Total International Bond ETF,"$31,755,219.64 ","2,423,149"
IVW,iShares S&P 500 Growth ETF,"$30,271,998.84 ","582,397"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"$30,086,468.83 ","24,563,699"
VNQ,Vanguard Real Estate Index Fund,"$29,289,277.72 ","4,539,698"
VB,Vanguard Small Cap ETF,"$28,570,804.26 ","678,686"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$27,337,832.91 ","1,603,968"
VYM,Vanguard High Dividend Yield ETF,"$26,954,154.33 ","1,699,977"
BSV,Vanguard Short-Term Bond ETF,"$26,868,140.90 ","1,730,637"
VXUS,Vanguard Total International Stock ETF,"$25,823,746.83 ","2,609,620"
VEU,Vanguard FTSE All-World ex-US ETF,"$25,394,732.86 ","3,385,065"
EEM,iShares MSCI Emerging Markets ETF,"$24,089,068.93 ","43,910,008"
XLV,Health Care Select Sector SPDR Fund,"$24,068,817.65 ","8,066,059"
TIP,iShares TIPS Bond ETF,"$24,027,362.79 ","1,765,762"
IWB,iShares Russell 1000 ETF,"$23,677,093.55 ","707,502"
DIA,SPDR Dow Jones Industrial Average ETF,"$22,719,682.82 ","3,605,362"
SCHX,Schwab U.S. Large-Cap ETF,"$22,465,788.21 ","1,519,232"
MBB,iShares MBS Bond ETF,"$22,272,575.71 ","1,130,003"
IXUS,iShares Core MSCI Total International Stock ETF,"$21,432,856.72 ","1,577,114"
SHY,iShares 1-3 Year Treasury Bond ETF,"$21,222,667.82 ","2,899,817"
SHV,iShares Short Treasury Bond ETF,"$20,977,500.30 ","2,327,626"
IWR,iShares Russell Midcap ETF,"$20,910,864.91 ","1,468,658"
IGSB,iShares Short-Term Corporate Bond ETF,"$20,224,848.23 ","2,285,435"
IEF,iShares 7-10 Year Treasury Bond ETF,"$20,140,764.81 ","4,001,640"
SCHF,Schwab International Equity ETF,"$19,878,996.50 ","3,864,860"
QUAL,iShares Edge MSCI USA Quality Factor ETF,"$19,385,554.44 ","1,028,983"
VV,Vanguard Large Cap ETF,"$19,112,456.08 ","288,906"
GDX,VanEck Vectors Gold Miners ETF,"$18,459,100.17 ","31,012,811"
XLF,Financial Select Sector SPDR Fund,"$18,071,561.24 ","61,249,914"
MUB,iShares National AMT-Free Muni Bond ETF,"$18,045,489.49 ","1,017,329"
TLT,iShares 20+ Year Treasury Bond ETF,"$17,388,054.15 ","9,728,818"
PFF,iShares Preferred and Income Securities ETF,"$16,840,193.35 ","3,449,563"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$16,829,269.82 ","3,133,802"
IVE,iShares S&P 500 Value ETF,"$16,076,709.16 ","787,151"
SCHB,Schwab U.S. Broad Market ETF,"$15,818,153.72 ","876,051"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$15,611,558.07 ","3,718,582"
SDY,SPDR S&P Dividend ETF,"$15,503,055.87 ","706,186"
SLV,iShares Silver Trust,"$14,941,944.00 ","51,320,727"
GOVT,iShares U.S. Treasury Bond ETF,"$14,853,223.63 ","4,423,665"
MDY,SPDR S&P MidCap 400 ETF,"$14,749,197.86 ","1,052,417"
BIV,Vanguard Intermediate-Term Bond ETF,"$14,506,857.85 ","1,053,314"
XLP,Consumer Staples Select Sector SPDR Fund,"$14,462,834.30 ","9,302,470"
VT,Vanguard Total World Stock ETF,"$14,322,383.06 ","1,525,266"
BIL,SPDR Barclays 1-3 Month T-Bill ETF,"$14,181,857.00 ","2,169,845"
JPST,JPMorgan Ultra-Short Income ETF,"$14,152,083.25 ","2,920,259"
MINT,PIMCO Enhanced Short Maturity Strategy Fund,"$13,969,237.64 ","1,142,720"
VBR,Vanguard Small Cap Value ETF,"$13,440,084.76 ","448,565"
RSP,Invesco S&P 500¨ Equal Weight ETF,"$13,125,346.32 ","1,575,354"
JNK,SPDR Barclays High Yield Bond ETF,"$12,989,739.66 ","7,662,620"
DVY,iShares Select Dividend ETF,"$12,940,271.03 ","781,780"
IWP,iShares Russell Midcap Growth ETF,"$12,785,165.28 ","282,609"
SCHD,Schwab US Dividend Equity ETF,"$12,723,218.44 ","1,649,725"
VGK,Vanguard FTSE Europe ETF,"$12,597,608.70 ","4,496,401"
ACWI,iShares MSCI ACWI ETF,"$12,513,504.13 ","2,810,521"
SCHP,Schwab U.S. TIPS ETF,"$12,299,941.84 ","1,673,960"
SCHG,Schwab U.S. Large-Cap Growth ETF,"$12,067,559.20 ","550,731"
XLI,Industrial Select Sector SPDR Fund,"$11,971,248.86 ","11,606,903"
XLU,Utilities Select Sector SPDR Fund,"$11,898,640.84 ","15,298,854"
DGRO,iShares Core Dividend Growth ETF,"$11,881,085.95 ","1,850,569"
VMBS,Vanguard Mortgage-Backed Securities ETF,"$11,579,541.90 ","1,671,141"
VHT,Vanguard Healthcare ETF,"$11,485,866.74 ","214,874"
MTUM,iShares Edge MSCI USA Momentum Factor ETF,"$11,440,669.35 ","730,749"
IGIB,iShares Intermediate-Term Corporate Bond ETF,"$11,424,831.51 ","1,206,385"
IEI,iShares 3-7 Year Treasury Bond ETF,"$11,235,401.28 ","784,600"
VBK,Vanguard Small Cap Growth ETF,"$10,918,536.17 ","189,952"
EFAV,iShares Edge MSCI Min Vol EAFE ETF,"$10,783,734.64 ","939,271"
XLC,Communication Services Select Sector SPDR Fund,"$10,283,222.58 ","3,544,325"
IWS,iShares Russell Midcap Value ETF,"$10,130,598.39 ","490,418"
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,"$10,109,180.09 ","567,522"
EWJ,iShares MSCI Japan ETF,"$10,104,812.02 ","5,784,837"
FDN,First Trust Dow Jones Internet Index,"$9,886,445.97 ","632,032"
SCHA,Schwab U.S. Small-Cap ETF,"$9,831,936.85 ","725,606"